logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,区画線数,対象の区画線ID,対象の区画線の親区画線のID,MMS測位誤差[mm],レーザー測位誤差[mm],道路構成地物ID,区画線種別,区画線付加属性フラグ,始点側線幅[cm],終点側線幅[cm]
940224,0x3ff73,False,285,2440520,2448488,7,6,1.7488013864825288e+18,-1,510.0,219.0,3221291776.0,1,16,20,20
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,336.0,188.0,3221291776.0,1,32,20,20
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,488.0,189.0,3221291520.0,2,48,15,15
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,511.0,214.0,3221291520.0,2,48,15,15
978159,0x3ffb2,False,292,2440520,2448488,7,6,1.7488013864825288e+18,-1,510.0,219.0,3221291776.0,1,16,20,20
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,649.0,187.0,3221291776.0,1,32,20,20
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,642.0,188.0,3221291520.0,2,48,15,15
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,552.0,214.0,3221291520.0,2,48,15,15
1006422,0x4000b,False,285,2448488,2456494,7,6,1.7488013864825288e+18,-1,551.0,218.0,3221291776.0,1,16,20,20
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,649.0,187.0,3221291776.0,1,32,20,20
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,642.0,188.0,3221291520.0,2,48,15,15
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,552.0,214.0,3221291520.0,2,48,15,15
1043499,0x4006c,False,292,2448488,2456494,7,6,1.7488013864825288e+18,-1,551.0,218.0,3221291776.0,1,16,20,20
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,498.0,184.0,3221291776.0,1,32,20,20
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,603.0,186.0,3221291520.0,2,48,15,15
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,559.0,214.0,3221291520.0,2,48,15,15
1139510,0x40137,False,285,2456494,2464480,7,6,1.7488013864825288e+18,-1,561.0,218.0,3221291776.0,1,16,20,20
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,498.0,184.0,3221291776.0,1,32,20,20
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,603.0,186.0,3221291520.0,2,48,15,15
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,559.0,214.0,3221291520.0,2,48,15,15
1176561,0x40174,False,292,2456494,2464480,7,6,1.7488013864825288e+18,-1,561.0,218.0,3221291776.0,1,16,20,20
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,467.0,183.0,3221291776.0,1,32,20,20
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,420.0,184.0,3221291520.0,2,48,15,15
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,561.0,214.0,3221291520.0,2,48,15,15
1239569,0x4021d,False,285,2464480,2472502,7,6,1.7488013864825288e+18,-1,563.0,218.0,3221291776.0,1,16,20,20
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013864825288e+18,-1,467.0,183.0,3221291776.0,1,32,20,20
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013864825288e+18,-1,420.0,184.0,3221291520.0,2,48,15,15
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013864825288e+18,-1,561.0,214.0,3221291520.0,2,48,15,15
1276121,0x40264,False,292,2464480,2472502,7,6,1.7488013864825288e+18,-1,563.0,218.0,3221291776.0,1,16,20,20
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013864825288e+18,-1,325.0,184.0,3221291776.0,1,32,20,20
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013864825288e+18,-1,315.0,183.0,3221291520.0,2,48,15,15
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013864825288e+18,-1,579.0,215.0,3221291520.0,2,48,15,15
1306050,0x402b3,False,285,2472502,2480458,7,6,1.7488013864825288e+18,-1,581.0,219.0,3221291776.0,1,16,20,20
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013864825288e+18,-1,325.0,184.0,3221291776.0,1,32,20,20
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013864825288e+18,-1,315.0,183.0,3221291520.0,2,48,15,15
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013864825288e+18,-1,579.0,215.0,3221291520.0,2,48,15,15
1342410,0x402cb,False,292,2472502,2480458,7,6,1.7488013864825288e+18,-1,581.0,219.0,3221291776.0,1,16,20,20
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013864825288e+18,-1,275.0,184.0,3221291776.0,1,32,20,20
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013864825288e+18,-1,255.0,184.0,3221291520.0,2,48,15,15
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013864825288e+18,-1,586.0,214.0,3221291520.0,2,48,15,15
1438312,0x4031f,False,285,2480458,2488515,7,6,1.7488013864825288e+18,-1,584.0,220.0,3221291776.0,1,16,20,20
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013864825288e+18,-1,275.0,184.0,3221291776.0,1,32,20,20
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013864825288e+18,-1,255.0,184.0,3221291520.0,2,48,15,15
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013870193997e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013864825288e+18,-1,586.0,214.0,3221291520.0,2,48,15,15
1442012,0x4032b,False,292,2480458,2488515,7,6,1.7488013864825288e+18,-1,584.0,220.0,3221291776.0,1,16,20,20
1538152,0x40369,False,285,2488515,2496506,7,6,1.748801386482529e+18,-1,241.0,181.0,3221291776.0,1,32,20,20
1538152,0x40369,False,285,2488515,2496506,7,6,1.748801386482529e+18,-1,229.0,182.0,3221291520.0,2,48,15,15
1538152,0x40369,False,285,2488515,2496506,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1538152,0x40369,False,285,2488515,2496506,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1538152,0x40369,False,285,2488515,2496506,7,6,1.748801386482529e+18,-1,613.0,213.0,3221291520.0,2,48,15,15
1538152,0x40369,False,285,2488515,2496506,7,6,1.748801386482529e+18,-1,613.0,217.0,3221291776.0,1,16,20,20
1541583,0x40374,False,292,2488515,2496506,7,6,1.748801386482529e+18,-1,241.0,181.0,3221291776.0,1,32,20,20
1541583,0x40374,False,292,2488515,2496506,7,6,1.748801386482529e+18,-1,229.0,182.0,3221291520.0,2,48,15,15
1541583,0x40374,False,292,2488515,2496506,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1541583,0x40374,False,292,2488515,2496506,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1541583,0x40374,False,292,2488515,2496506,7,6,1.748801386482529e+18,-1,613.0,213.0,3221291520.0,2,48,15,15
1541583,0x40374,False,292,2488515,2496506,7,6,1.748801386482529e+18,-1,613.0,217.0,3221291776.0,1,16,20,20
1637275,0x403d5,False,285,2496506,2504496,7,6,1.748801386482529e+18,-1,273.0,183.0,3221291776.0,1,32,20,20
1637275,0x403d5,False,285,2496506,2504496,7,6,1.748801386482529e+18,-1,258.0,182.0,3221291520.0,2,48,15,15
1637275,0x403d5,False,285,2496506,2504496,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1637275,0x403d5,False,285,2496506,2504496,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1637275,0x403d5,False,285,2496506,2504496,7,6,1.748801386482529e+18,-1,646.0,212.0,3221291520.0,2,48,15,15
1637275,0x403d5,False,285,2496506,2504496,7,6,1.748801386482529e+18,-1,628.0,216.0,3221291776.0,1,16,20,20
1706887,0x4040a,False,292,2496506,2504496,7,6,1.748801386482529e+18,-1,273.0,183.0,3221291776.0,1,32,20,20
1706887,0x4040a,False,292,2496506,2504496,7,6,1.748801386482529e+18,-1,258.0,182.0,3221291520.0,2,48,15,15
1706887,0x4040a,False,292,2496506,2504496,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1706887,0x4040a,False,292,2496506,2504496,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1706887,0x4040a,False,292,2496506,2504496,7,6,1.748801386482529e+18,-1,646.0,212.0,3221291520.0,2,48,15,15
1706887,0x4040a,False,292,2496506,2504496,7,6,1.748801386482529e+18,-1,628.0,216.0,3221291776.0,1,16,20,20
1768621,0x4043b,False,285,2504496,2512527,7,6,1.748801386482529e+18,-1,283.0,183.0,3221291776.0,1,32,20,20
1768621,0x4043b,False,285,2504496,2512527,7,6,1.748801386482529e+18,-1,301.0,181.0,3221291520.0,2,48,15,15
1768621,0x4043b,False,285,2504496,2512527,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1768621,0x4043b,False,285,2504496,2512527,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1768621,0x4043b,False,285,2504496,2512527,7,6,1.748801386482529e+18,-1,673.0,212.0,3221291520.0,2,48,15,15
1768621,0x4043b,False,285,2504496,2512527,7,6,1.748801386482529e+18,-1,688.0,216.0,3221291776.0,1,16,20,20
1772188,0x40446,False,292,2504496,2512527,7,6,1.748801386482529e+18,-1,283.0,183.0,3221291776.0,1,32,20,20
1772188,0x40446,False,292,2504496,2512527,7,6,1.748801386482529e+18,-1,301.0,181.0,3221291520.0,2,48,15,15
1772188,0x40446,False,292,2504496,2512527,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1772188,0x40446,False,292,2504496,2512527,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1772188,0x40446,False,292,2504496,2512527,7,6,1.748801386482529e+18,-1,673.0,212.0,3221291520.0,2,48,15,15
1772188,0x40446,False,292,2504496,2512527,7,6,1.748801386482529e+18,-1,688.0,216.0,3221291776.0,1,16,20,20
1868480,0x40497,False,285,2512527,2520535,7,6,1.748801386482529e+18,-1,275.0,181.0,3221291776.0,1,32,20,20
1868480,0x40497,False,285,2512527,2520535,7,6,1.748801386482529e+18,-1,301.0,181.0,3221291520.0,2,48,15,15
1868480,0x40497,False,285,2512527,2520535,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1868480,0x40497,False,285,2512527,2520535,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1868480,0x40497,False,285,2512527,2520535,7,6,1.748801386482529e+18,-1,640.0,214.0,3221291520.0,2,48,15,15
1868480,0x40497,False,285,2512527,2520535,7,6,1.748801386482529e+18,-1,688.0,216.0,3221291776.0,1,16,20,20
1905409,0x404ae,False,292,2512527,2520535,7,6,1.748801386482529e+18,-1,275.0,181.0,3221291776.0,1,32,20,20
1905409,0x404ae,False,292,2512527,2520535,7,6,1.748801386482529e+18,-1,301.0,181.0,3221291520.0,2,48,15,15
1905409,0x404ae,False,292,2512527,2520535,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1905409,0x404ae,False,292,2512527,2520535,7,6,1.7488013870194e+18,-1,4294967295.0,4294967295.0,4294967295.0,-1,0,0,0
1905409,0x404ae,False,292,2512527,2520535,7,6,1.748801386482529e+18,-1,640.0,214.0,3221291520.0,2,48,15,15
1905409,0x404ae,False,292,2512527,2520535,7,6,1.748801386482529e+18,-1,688.0,216.0,3221291776.0,1,16,20,20
