logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,道路標示物情報数,道路標示ID,交通ペイント種別,MMS測位誤差[mm],レーザー測位誤差[mm],座標点数,緯度[deg],経度[deg],楕円体高[cm]
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12728913224472,139.6305043202896,5357
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.127289467520846,139.63049225034902,5357
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12729214972986,139.63043257119844,5357
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.127294831938876,139.63036953928656,5356
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12729751414789,139.6303078484792,5355
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12729986108078,139.63024984570924,5355
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12730187273754,139.6301905018348,5357
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.1273038843943,139.63013048740805,5359
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12730656660332,139.6300674554962,5360
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6486,131,20,36.12730891353621,139.63000643524109,5361
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12724252886307,139.63000475886045,5372
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12724051720631,139.6300654438394,5371
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12723817027342,139.63012143495263,5369
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127235823340534,139.63018178465546,5366
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12723381168377,139.63024012270157,5364
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12723180002701,139.63029577853862,5363
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12722978837025,139.63035176965184,5362
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127228111989616,139.63042318346686,5361
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127226100332855,139.63047749819944,5361
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.1272254297806,139.6305006322522,5363
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127196596033684,139.63049862059543,5365
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12719793713819,139.63047481599042,5365
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.1271992782427,139.6304211718101,5363
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12720229572784,139.6303500932712,5364
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127203972108475,139.630294102158,5365
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12720665431749,139.63023777576868,5368
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12720866597425,139.63017943772257,5369
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.12721067763101,139.63011942329587,5372
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127213359840034,139.63006309690653,5375
1740618,0x3afc6,False,308,54068,71928,1,12,1.7488013888984343e+18,3305046272.0,6419,133,20,36.127215371496796,139.63000241192756,5377
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12495594567735,139.6291018602506,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124992490775185,139.62906799736177,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12502803004464,139.6290334639207,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12506390459022,139.62899893047964,5392
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125099443859675,139.6289650675908,5392
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12513397730075,139.62893187525424,5391
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12516951657021,139.62889801236543,5390
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125205055839665,139.6288641494766,5390
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12524126566137,139.62883095714002,5392
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12527613437857,139.6287957531467,5390
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1253113383719,139.628759543325,5389
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125346877641356,139.62872500988394,5389
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12538208163469,139.6286898058906,5385
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12541627979964,139.62865426662114,5383
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12545014268846,139.62861839207557,5381
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1254829997489,139.6285818469777,5377
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550278104038,139.62855971875334,5372
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125512839324195,139.62854898991728,5369
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12552088595124,139.62855837764883,5372
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551853901835,139.62856139513397,5373
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551082766743,139.62857078286552,5378
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1255091512868,139.62857279452228,5379
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550814545842,139.6285754767313,5381
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550680435391,139.62858017059708,5381
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550713963004,139.62858385863447,5381
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550982183905,139.62858519973898,5382
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1255141804287,139.6285841939106,5378
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551753318997,139.62858117642546,5378
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12552524454089,139.62857447090292,5378
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12553262061568,139.62856776538038,5377
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12554737276527,139.6285929110899,5376
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12553228533955,139.628606322135,5377
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550781018229,139.62862845035937,5378
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12547160036058,139.6286613074198,5379
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125435725814995,139.6286938292041,5380
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12539817488878,139.62872735681682,5383
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1253623003432,139.62875987860113,5385
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125325419969236,139.62879273566156,5388
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125288874871394,139.62882492216974,5390
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12525232977356,139.62885744395408,5392
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12521611995185,139.62888963046225,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1251805806824,139.62892081114205,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12514437086069,139.62895333292636,5392
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12510782576285,139.62898551943456,5393
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125070945388885,139.62901804121887,5394
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12503339446267,139.6290495571748,5394
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12499718464096,139.62908274951135,5394
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124961645371506,139.62911258908667,5394
1868531,0x3b024,False,285,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12495929843862,139.6291078952209,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12495594567735,139.6291018602506,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124992490775185,139.62906799736177,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12502803004464,139.6290334639207,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12506390459022,139.62899893047964,5392
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125099443859675,139.6289650675908,5392
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12513397730075,139.62893187525424,5391
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12516951657021,139.62889801236543,5390
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125205055839665,139.6288641494766,5390
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12524126566137,139.62883095714002,5392
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12527613437857,139.6287957531467,5390
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1253113383719,139.628759543325,5389
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125346877641356,139.62872500988394,5389
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12538208163469,139.6286898058906,5385
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12541627979964,139.62865426662114,5383
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12545014268846,139.62861839207557,5381
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1254829997489,139.6285818469777,5377
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550278104038,139.62855971875334,5372
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125512839324195,139.62854898991728,5369
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12552088595124,139.62855837764883,5372
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551853901835,139.62856139513397,5373
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551082766743,139.62857078286552,5378
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1255091512868,139.62857279452228,5379
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550814545842,139.6285754767313,5381
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550680435391,139.62858017059708,5381
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550713963004,139.62858385863447,5381
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550982183905,139.62858519973898,5382
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1255141804287,139.6285841939106,5378
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12551753318997,139.62858117642546,5378
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12552524454089,139.62857447090292,5378
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12553262061568,139.62856776538038,5377
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12554737276527,139.6285929110899,5376
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12553228533955,139.628606322135,5377
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12550781018229,139.62862845035937,5378
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12547160036058,139.6286613074198,5379
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125435725814995,139.6286938292041,5380
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12539817488878,139.62872735681682,5383
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1253623003432,139.62875987860113,5385
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125325419969236,139.62879273566156,5388
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125288874871394,139.62882492216974,5390
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12525232977356,139.62885744395408,5392
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12521611995185,139.62888963046225,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.1251805806824,139.62892081114205,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12514437086069,139.62895333292636,5392
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12510782576285,139.62898551943456,5393
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.125070945388885,139.62901804121887,5394
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12503339446267,139.6290495571748,5394
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12499718464096,139.62908274951135,5394
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.124961645371506,139.62911258908667,5394
1904847,0x3b03d,False,292,987360,995152,7,1,1.7488013886299988e+18,3288467712.0,2963,170,49,36.12495929843862,139.6291078952209,5393
