logTime,Instance ID,Is Retransmission,Path Id,Offset[cm],End Offset[cm],Lane Number,Road EdgeèÓïÒêî,ëŒè€ÇÃRoad Edge ID
83089,0x18710,False,255,2443545,2458538,15,2,861149
83089,0x18710,False,255,2443545,2458538,15,2,4295828445
85101,0x1872a,False,362,1139280,1154273,15,2,861149
85101,0x1872a,False,362,1139280,1154273,15,2,4295828445
134259,0x187a2,False,255,2458538,2463216,15,2,861188
134259,0x187a2,False,255,2458538,2463216,15,2,4295828484
136294,0x187c0,False,362,1154273,1158951,15,2,861188
136294,0x187c0,False,362,1154273,1158951,15,2,4295828484
155453,0x187de,False,255,2463216,2474835,31,2,860962
155453,0x187de,False,255,2463216,2474835,31,2,4295828258
155594,0x187e9,False,386,0,4394,1,2,3180930
155594,0x187e9,False,386,0,4394,1,2,4298148226
155680,0x187f3,False,386,4394,10882,1,2,3180928
155680,0x187f3,False,386,4394,10882,1,2,4298148224
155920,0x187fd,False,386,10882,19872,1,2,3180924
155920,0x187fd,False,386,10882,19872,1,2,4298148220
156133,0x18807,False,386,19872,31048,1,2,3180946
156133,0x18807,False,386,19872,31048,1,2,4298148242
156141,0x18811,False,386,31048,31747,1,2,2375485
156141,0x18811,False,386,31048,31747,1,2,4297342781
156151,0x1881b,False,386,31747,32148,1,2,2375484
156151,0x1881b,False,386,31747,32148,1,2,4297342780
156274,0x18825,False,386,32148,33744,1,2,2375483
156274,0x18825,False,386,32148,33744,1,2,4297342779
158109,0x18855,False,362,1158951,1170570,31,2,860962
158109,0x18855,False,362,1158951,1170570,31,2,4295828258
158125,0x18860,False,387,0,4394,1,2,3180930
158125,0x18860,False,387,0,4394,1,2,4298148226
158240,0x1886a,False,387,4394,10882,1,2,3180928
158240,0x1886a,False,387,4394,10882,1,2,4298148224
158333,0x18874,False,387,10882,19872,1,2,3180924
158333,0x18874,False,387,10882,19872,1,2,4298148220
158466,0x1887e,False,387,19872,31048,1,2,3180946
158466,0x1887e,False,387,19872,31048,1,2,4298148242
158493,0x18888,False,387,31048,31747,1,2,2375485
158493,0x18888,False,387,31048,31747,1,2,4297342781
158503,0x18892,False,387,31747,32148,1,2,2375484
158503,0x18892,False,387,31747,32148,1,2,4297342780
158588,0x1889c,False,387,32148,33744,1,2,2375483
158588,0x1889c,False,387,32148,33744,1,2,4297342779
185634,0x188e8,False,255,2474835,2480037,31,2,861001
185634,0x188e8,False,255,2474835,2480037,31,2,4295828297
197982,0x18928,False,362,1170570,1175772,31,2,861001
197982,0x18928,False,362,1170570,1175772,31,2,4295828297
206434,0x18934,False,255,2480037,2483439,15,2,860994
206434,0x18934,False,255,2480037,2483439,15,2,4295828290
208162,0x1894e,False,362,1175772,1179174,15,2,860994
208162,0x1894e,False,362,1175772,1179174,15,2,4295828290
216412,0x1895a,False,255,2483439,2488552,15,2,861029
216412,0x1895a,False,255,2483439,2488552,15,2,4295828325
218552,0x18974,False,362,1179174,1184287,15,2,861029
218552,0x18974,False,362,1179174,1184287,15,2,4295828325
236882,0x18992,False,255,2488552,2494876,15,2,861076
236882,0x18992,False,255,2488552,2494876,15,2,4295828372
238964,0x189ac,False,362,1184287,1190611,15,2,861076
238964,0x189ac,False,362,1184287,1190611,15,2,4295828372
267818,0x189e0,False,255,2494876,2510996,31,2,860954
267818,0x189e0,False,255,2494876,2510996,31,2,4295828250
267823,0x189ea,False,388,0,6318,1,2,3196252
267823,0x189ea,False,388,0,6318,1,2,4298163548
267913,0x189f4,False,388,6318,10931,1,2,3196247
267913,0x189f4,False,388,6318,10931,1,2,4298163543
267918,0x189fe,False,388,10931,19652,1,2,3196243
267918,0x189fe,False,388,10931,19652,1,2,4298163539
268169,0x18a08,False,388,19652,33250,1,2,3196254
268169,0x18a08,False,388,19652,33250,1,2,4298163550
268264,0x18a12,False,388,33250,33548,1,2,2379680
268264,0x18a12,False,388,33250,33548,1,2,4297346976
268266,0x18a1c,False,388,33548,33748,1,2,2379679
268266,0x18a1c,False,388,33548,33748,1,2,4297346975
268273,0x18a26,False,388,33748,33948,1,2,2379678
268273,0x18a26,False,388,33748,33948,1,2,4297346974
268374,0x18a30,False,388,33948,35346,1,2,2379677
268374,0x18a30,False,388,33948,35346,1,2,4297346973
269866,0x18a4a,False,362,1190611,1206731,31,2,860954
269866,0x18a4a,False,362,1190611,1206731,31,2,4295828250
269986,0x18a54,False,389,0,6318,1,2,3196252
269986,0x18a54,False,389,0,6318,1,2,4298163548
270006,0x18a5e,False,389,6318,10931,1,2,3196247
270006,0x18a5e,False,389,6318,10931,1,2,4298163543
270074,0x18a68,False,389,10931,19652,1,2,3196243
270074,0x18a68,False,389,10931,19652,1,2,4298163539
270353,0x18a72,False,389,19652,33250,1,2,3196254
270353,0x18a72,False,389,19652,33250,1,2,4298163550
270355,0x18a7c,False,389,33250,33548,1,2,2379680
270355,0x18a7c,False,389,33250,33548,1,2,4297346976
270456,0x18a86,False,389,33548,33748,1,2,2379679
270456,0x18a86,False,389,33548,33748,1,2,4297346975
270463,0x18a90,False,389,33748,33948,1,2,2379678
270463,0x18a90,False,389,33748,33948,1,2,4297346974
270471,0x18a9a,False,389,33948,35346,1,2,2379677
270471,0x18a9a,False,389,33948,35346,1,2,4297346973
339898,0x18b7c,False,255,2510996,2541058,15,2,861015
339898,0x18b7c,False,255,2510996,2541058,15,2,4295828311
341939,0x18b97,False,362,1206731,1236793,15,2,861015
341939,0x18b97,False,362,1206731,1236793,15,2,4295828311
483475,0x18d76,False,255,2541058,2571060,15,2,861059
483475,0x18d76,False,255,2541058,2571060,15,2,4295828355
485510,0x18d90,False,362,1236793,1266795,15,2,861059
485510,0x18d90,False,362,1236793,1266795,15,2,4295828355
596156,0x18fe9,False,255,2571060,2601044,15,2,861098
596156,0x18fe9,False,255,2571060,2601044,15,2,4295828394
598197,0x19005,False,362,1266795,1296779,15,2,861098
598197,0x19005,False,362,1266795,1296779,15,2,4295828394
